internship_title,internship_company,required_skills,internship_location,required_education,Stipend,mode,duration
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech,"7,973.00",hybrid,4 months
Safety Officer,OIL INDIA LIMITED,"Pipeline Maintenance, Reservoir Engineering, Field Operations",Chennai,MBA,"5,339.00",online,10 months
Supply Chain Analyst,CIPLA LIMITED,"Brand Management, Distribution, Product Development",Remote,M.Sc,"9,405.00",hybrid,5 months
Web Developer,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,"Cloud Computing, Machine Learning, React, Cybersecurity",Jaipur,B.Sc,"6,218.00",hybrid,12 months
Geologist,HINDUSTAN ZINC LIMITED,"Geology, Exploration, Safety Management, Surveying",Delhi,B.Tech,"9,582.00",in-person,4 months
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc,"9,728.00",in-person,12 months
Surveyor,RASHMI CEMENT LIMITED,"Surveying, Estimation, Quality Control, Structural Design",Jaipur,BCA,"9,020.00",in-person,2 months
IT Support,KITEX CHILDRENSWEAR LIMITED,"React, DevOps, Java, JavaScript",Hyderabad,BA,"4,649.00",in-person,8 months
Cloud Architect,BAJAJ AUTO LIMITED.,"Cybersecurity, JavaScript, SQL, Cloud Computing",Hyderabad,BBA,"7,651.00",hybrid,9 months
Exploration Geologist,AIA ENGINEERING LIMITED,"Surveying, Exploration",Hyderabad,BCA,"5,643.00",online,9 months
DevOps Engineer,JAQUAR AND COMPANY PRIVATE LIMITED,"JavaScript, Cybersecurity",Pune,B.Sc,"3,107.00",hybrid,7 months
Inventory Analyst,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Transportation, Procurement",Chennai,BBA,"1,779.00",online,9 months
Supply Chain Analyst,HINDUSTAN UNILEVER LIMITED,"Marketing, Retail Management, Consumer Insights, Supply Chain",Bangalore,BCA,"7,638.00",in-person,9 months
QA Engineer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"React, Cybersecurity, Data Analysis, JavaScript",Chennai,B.Tech,"5,645.00",in-person,3 months
Machine Learning Engineer,WHIRLPOOL OF INDIA LIMITED,"Cybersecurity, SQL",Delhi,BCA,"1,563.00",hybrid,8 months
IT Support,BAJAJ FINANCE LIMITED,"Data Analysis, Machine Learning, JavaScript",Lucknow,BA,"5,125.00",hybrid,11 months
IT Support,KITEX CHILDRENSWEAR LIMITED,"React, DevOps, Java, JavaScript",Hyderabad,BA,"6,841.00",hybrid,11 months
Machine Learning Engineer,EXIDE INDUSTRIES LIMITED,"Cloud Computing, Data Analysis",Remote,PhD,"4,605.00",online,11 months
Surveyor,THE SUPREME INDUSTRIES LIMITED,"Quality Control, Surveying, Construction Management, Safety Management",Hyderabad,B.Sc,"7,384.00",online,10 months
Data Analyst,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"Java, React",Jaipur,BA,"4,449.00",online,5 months
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"JavaScript, DevOps",Kolkata,B.Sc,"5,953.00",hybrid,3 months
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD,"7,731.00",hybrid,4 months
Software Developer,HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD,"React, SQL, Cybersecurity, Data Analysis",Chennai,B.Sc,"8,033.00",online,4 months
Construction Manager,DCM SHRIRAM LIMITED,"Surveying, Quality Control, Civil Engineering",Mumbai,M.Sc,"9,345.00",online,3 months
Software Developer,ADITYA BIRLA SUN LIFE AMC LIMITED,"Data Analysis, Java, Cloud Computing",Kolkata,B.Com,"5,740.00",hybrid,10 months
Hardware Engineer,HONEYWELL AUTOMATION INDIA LIMITED,"PCB Design, R&D, Quality Control, Circuit Design",Hyderabad,PhD,"9,711.00",online,6 months
Product Manager,PROCTER & GAMBLE HOME PRODUCTS PRIVATE LIMITED,"Consumer Insights, Marketing, Product Development",Bangalore,BBA,"2,938.00",hybrid,9 months
IT Support,HSBC ELECTRONIC DATA PROCESSING INDIA PRIVATE LIMITED,"Machine Learning, React, Python, DevOps",Chennai,BCA,"3,946.00",in-person,4 months
Surveyor,CENTRAL COALFIELDS LIMITED,"Safety Management, Mining Engineering, Geology",Lucknow,B.Sc,"5,850.00",in-person,11 months
Cloud Architect,WHIRLPOOL OF INDIA LIMITED,"DevOps, Cloud Computing, React, Python",Delhi,PhD,"9,989.00",online,10 months
Product Manager,PATANJALI FOODS LIMITED,"Supply Chain, Marketing, Retail Management",Chennai,BBA,"7,604.00",online,2 months
Surveyor,GUJARAT FLUOROCHEMICALS LIMITED,"Project Management, Quality Control",Bangalore,B.Sc,"5,766.00",in-person,3 months
Design Engineer,ADANI POWER LIMITED,"Transmission, Maintenance",Mumbai,BCA,"5,738.00",in-person,3 months
Surveyor,GAWAR CONSTRUCTION LIMITED.,"Civil Engineering, Construction Management, Surveying, Structural Design",Bangalore,Diploma,"4,667.00",in-person,2 months
Relationship Manager,SBI LIFE INSURANCE COMPANY LIMITED,"Wealth Management, Accounting, Investment Banking, Auditing",Mumbai,BCA,"8,858.00",online,7 months
Financial Analyst,SBI LIFE INSURANCE COMPANY LIMITED,"Risk Management, Auditing",Remote,PhD,"7,655.00",hybrid,3 months
QA Engineer,ATLAS COPCO (INDIA) PRIVATE LIMITED,"JavaScript, Cloud Computing, Machine Learning, Cybersecurity",Jaipur,B.Com,"7,725.00",hybrid,5 months
Thermal Engineer,KARNATAKA POWER TRANSMISSION CORPORATION LIMITED,"Energy Efficiency, Transmission, Thermal Power, Grid Management",Bangalore,MBA,"6,023.00",online,12 months
Brand Manager,PIRAMAL PHARMA LIMITED,"Marketing, Sales, Consumer Insights",Lucknow,BCA,"7,213.00",online,4 months
Web Developer,GRASIM INDUSTRIES LTD,"Python, Data Analysis, Java",Delhi,BBA,"6,887.00",online,3 months
Cloud Architect,INFOSYS BPM LIMITED,"Data Analysis, DevOps",Jaipur,B.Sc,"5,171.00",online,12 months
DevOps Engineer,MACROTECH DEVELOPERS LIMITED,"Java, Python, Cybersecurity, Machine Learning",Chennai,PhD,"4,661.00",in-person,9 months
Inventory Analyst,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,"Transportation, Supply Chain Management, Procurement, Inventory Management",Bangalore,B.Sc,"1,863.00",in-person,8 months
Treasury Analyst,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,"Auditing, Investment Banking, Accounting",Bangalore,M.Sc,"2,372.00",hybrid,12 months
Project Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Renewable Energy, Energy Efficiency",Ahmedabad,PhD,"6,790.00",online,7 months
IT Support,TECH MAHINDRA LIMITED,"SQL, Machine Learning, Python",Jaipur,B.Com,"1,788.00",online,4 months
Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA,"3,302.00",in-person,3 months
IT Support,WIPRO LIMITED,"React, Python, JavaScript",Mumbai,Diploma,"2,492.00",in-person,5 months
Machine Learning Engineer,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"React, SQL, Cloud Computing, Python",Remote,B.Sc,"3,569.00",hybrid,11 months
Financial Analyst,MAX LIFE INSURANCE COMPANY LIMITED,"Financial Modeling, Risk Management, Investment Banking, Taxation",Hyderabad,MBA,"9,608.00",online,6 months
Consumer Insights Analyst,USV PRIVATE LIMITED,"Supply Chain, Distribution, Product Development",Remote,B.Tech,"5,559.00",hybrid,11 months
Cloud Architect,ESCORTS KUBOTA LIMITED,"Data Analysis, Cybersecurity",Ahmedabad,Diploma,"9,560.00",in-person,8 months
Pipeline Engineer,PETRONET LNG LIMITED,"Drilling Operations, Geology",Kolkata,PhD,"5,832.00",hybrid,5 months
Credit Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Taxation, Financial Analysis, Investment Banking, Loan Processing",Remote,Diploma,"2,843.00",in-person,5 months
Software Developer,BAJAJ HOLDINGS & INVESTMENT LIMITED.,"DevOps, Python, Data Analysis, Cloud Computing",Lucknow,Diploma,"3,073.00",online,5 months
Distribution Executive,AUROBINDO PHARMA LTD,"Consumer Insights, Product Development, Retail Management",Ahmedabad,BBA,"6,407.00",in-person,6 months
Ore Processing Technician,IREL (INDIA) LIMITED,"Geology, Environmental Compliance, Ore Processing, Mineral Processing",Ahmedabad,MBA,"5,910.00",online,3 months
Supply Chain Analyst,HINDUSTAN COCA-COLA BEVERAGES PRIVATE LIMITED,"Sales, Brand Management, Distribution, Product Development",Bangalore,B.Sc,"8,394.00",online,5 months
Machine Learning Engineer,MICROSOFT INDIA (R&D) PRIVATE LIMITED,"JavaScript, Data Analysis, SQL",Delhi,BCA,"9,681.00",hybrid,7 months
Sales Executive,BAYER CROPSCIENCE LIMITED,"Brand Management, Sales, Product Development, Distribution",Lucknow,B.Sc,"4,594.00",hybrid,11 months
Data Analyst,SUNDARAM FINANCE LIMITED,"Python, DevOps, Machine Learning, JavaScript",Delhi,PhD,"2,455.00",online,4 months
Grid Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Thermal Power, Renewable Energy, Electrical Engineering",Delhi,B.Tech,"1,597.00",hybrid,4 months
Project Engineer,JAMNAGAR UTILITIES & POWER PRIVATE LIMITED,"Maintenance, Power Plant Operations, Transmission",Bangalore,B.Sc,"3,234.00",online,5 months
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Manufacturing, Embedded Systems, R&D",Hyderabad,PhD,"9,746.00",in-person,11 months
Machine Learning Engineer,STAR INDIA PRIVATE LIMITED,"Cybersecurity, React",Mumbai,BA,"9,865.00",hybrid,4 months
Cloud Architect,MACROTECH DEVELOPERS LIMITED,"DevOps, JavaScript",Jaipur,B.Sc,"8,637.00",in-person,9 months
Machine Learning Engineer,ORACLE INDIA PRIVATE LIMITED,"Machine Learning, React, Data Analysis, Python",Mumbai,MBA,"8,346.00",hybrid,5 months
Software Developer,SUNDRAM FASTENERS LIMITED,"Machine Learning, JavaScript",Kolkata,M.Sc,"6,014.00",in-person,6 months
Mineral Processing Engineer,COAL INDIA LTD GOVT OF INDIA UNDERTAKING,"Geology, Mineral Processing, Mining Engineering",Hyderabad,MBA,"1,835.00",hybrid,9 months
IT Support,MUSIGMA BUSINESS SOLUTIONS PRIVATE LIMITED,"SQL, DevOps",Remote,M.Sc,"7,059.00",online,8 months
Surveyor,CENTRAL COALFIELDS LIMITED,"Safety Management, Mining Engineering, Geology",Lucknow,B.Sc,"2,752.00",hybrid,3 months
Exploration Geologist,STEEL AUTHORITY OF INDIA LIMITED,"Ore Processing, Mineral Processing, Surveying, Environmental Compliance",Mumbai,M.Sc,"2,161.00",in-person,10 months
IT Support,ENDURANCE TECHNOLOGIES LIMITED,"Java, SQL, Python, JavaScript",Kolkata,MBA,"1,548.00",hybrid,7 months
Construction Manager,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Safety Management, Quality Control, Civil Engineering, Surveying",Remote,BCA,"6,928.00",hybrid,9 months
Consumer Insights Analyst,USV PRIVATE LIMITED,"Supply Chain, Distribution, Product Development",Remote,B.Tech,"4,308.00",online,3 months
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, JavaScript",Bangalore,M.Sc,"3,274.00",in-person,3 months
Construction Manager,MSPL LIMITED,"Construction Management, Estimation, Civil Engineering",Lucknow,B.Tech,"3,969.00",in-person,10 months
Sales Executive,COCA COLA INDIA PRIVATE LIMITED,"Retail Management, Distribution",Delhi,MBA,"6,592.00",hybrid,12 months
DevOps Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Python, React, Machine Learning",Jaipur,B.Com,"7,102.00",online,6 months
Construction Manager,THE ASSOCIATED BUILDING COMPANY LIMITED,"Safety Management, Surveying",Remote,B.Com,"1,596.00",hybrid,4 months
Safety Officer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mining Engineering, Safety Management, Environmental Compliance, Geology",Mumbai,BBA,"2,276.00",online,7 months
IT Support,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"Java, Cloud Computing, Python",Delhi,B.Tech,"1,587.00",online,8 months
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Electronics Design, Testing",Delhi,PhD,"4,700.00",hybrid,7 months
Software Developer,CUMMINS INDIA LIMITED,"Cloud Computing, Data Analysis",Ahmedabad,PhD,"3,492.00",online,7 months
Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA,"7,921.00",online,5 months
Safety Officer,INDRAPRASTHA GAS LIMITED,"Pipeline Maintenance, Petroleum Engineering, Safety Compliance, Reservoir Engineering",Pune,BA,"4,159.00",in-person,6 months
Web Developer,SAMMAAN CAPITAL LIMITED,"Java, DevOps",Jaipur,BA,"7,014.00",online,5 months
Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"SQL, Machine Learning, Cloud Computing",Ahmedabad,Diploma,"7,531.00",in-person,7 months
Civil Engineer,K.P.R. MILL LIMITED,"Surveying, Project Management, Civil Engineering, Construction Management",Pune,PhD,"4,804.00",online,8 months
Data Analyst,SBI FUNDS MANAGEMENT LIMITED,"DevOps, Machine Learning",Bangalore,M.Sc,"5,411.00",online,2 months
Mineral Processing Engineer,MAITHAN ALLOYS LTD.,"Exploration, Mineral Processing",Bangalore,B.Tech,"8,291.00",online,4 months
Treasury Analyst,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,"Auditing, Investment Banking, Accounting",Bangalore,M.Sc,"1,699.00",in-person,5 months
Web Developer,SUN TV NETWORK LIMITED,"React, DevOps, Machine Learning",Ahmedabad,B.Tech,"7,579.00",hybrid,3 months
Ore Processing Technician,INDIAN METALS AND FERRO ALLOYS LTD.,"Safety Management, Mineral Processing, Exploration, Environmental Compliance",Hyderabad,BBA,"7,576.00",hybrid,7 months
Retail Manager,LUPIN LIMITED,"Consumer Insights, Brand Management, Retail Management, Product Development",Chennai,BA,"8,230.00",hybrid,3 months
IT Support,GENPACT INDIA PRIVATE LIMITED,"Machine Learning, SQL",Bangalore,B.Sc,"5,236.00",in-person,3 months
Sales Executive,DR.REDDY S LABORATORIES LTD,"Product Development, Consumer Insights, Distribution, Supply Chain",Lucknow,B.Sc,"3,084.00",online,5 months
Credit Analyst,THE NEW INDIA ASSURANCE COMPANY LIMITED,"Financial Modeling, Wealth Management, Risk Management, Investment Banking",Jaipur,M.Sc,"7,420.00",hybrid,5 months
Credit Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Taxation, Financial Analysis, Investment Banking, Loan Processing",Remote,Diploma,"9,730.00",hybrid,7 months
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech,"2,092.00",hybrid,11 months
Sales Executive,SUN PHARMACEUTICAL INDUSTRIES LIMITED,"Consumer Insights, Brand Management, Sales",Jaipur,BA,"4,399.00",online,7 months
Machine Learning Engineer,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Java, Cybersecurity, Python",Hyderabad,B.Sc,"7,259.00",online,10 months
Safety Officer,DCM SHRIRAM LIMITED,"Civil Engineering, Project Management, Construction Management, Safety Management",Lucknow,M.Sc,"1,747.00",hybrid,3 months
Safety Officer,PATAKA INDUSTRIES PRIVATE LIMITED,"Estimation, Surveying, Civil Engineering, Structural Design",Mumbai,B.Tech,"4,021.00",hybrid,12 months
Loan Officer,DCB BANK LIMITED,"Investment Banking, Accounting, Wealth Management, Financial Modeling",Pune,PhD,"5,017.00",online,2 months
Grid Engineer,NTPC-SAIL POWER COMPANY LIMITED,"Thermal Power, Maintenance",Delhi,BBA,"2,613.00",hybrid,3 months
Construction Manager,G R INFRAPROJECTS LIMITED,"Estimation, Structural Design, Construction Management, Quality Control",Mumbai,B.Tech,"3,798.00",online,12 months
Civil Engineer,GHCL LIMITED,"Project Management, Civil Engineering, Structural Design, Surveying",Chennai,BCA,"5,282.00",online,12 months
Data Analyst,MICROSOFT INDIA (R&D) PRIVATE LIMITED,"SQL, DevOps",Pune,MBA,"3,158.00",in-person,8 months
Civil Engineer,TRIDENT LIMITED,"Civil Engineering, Project Management",Hyderabad,PhD,"5,977.00",in-person,6 months
Design Engineer,L G ELECTRONICS INDIA PRIVATE LIMITED,"Manufacturing, R&D, Electronics Design",Kolkata,BBA,"2,070.00",in-person,10 months
DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma,"7,484.00",online,9 months
Safety Officer,INDRAPRASTHA GAS LIMITED,"Reservoir Engineering, Pipeline Maintenance, Refining, Geology",Hyderabad,B.Com,"2,694.00",online,7 months
Sales Executive,RECKITT BENCKISER (INDIA) PRIVATE LIMITED,"Consumer Insights, Retail Management",Hyderabad,M.Sc,"4,717.00",online,2 months
Supply Chain Analyst,RSPL LIMITED,"Supply Chain, Consumer Insights",Kolkata,B.Tech,"6,665.00",hybrid,8 months
Site Engineer,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,"Civil Engineering, Construction Management, Estimation",Ahmedabad,BA,"4,041.00",in-person,12 months
Freight Coordinator,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,"Distribution, Inventory Management, Warehouse Operations",Hyderabad,M.Sc,"7,705.00",in-person,7 months
Machine Learning Engineer,SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,"Data Analysis, Cybersecurity, SQL, DevOps",Hyderabad,MBA,"6,099.00",online,10 months
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA,"8,965.00",online,10 months
Sales Executive,EMAMI LIMITED,"Brand Management, Sales, Marketing, Retail Management",Remote,MBA,"9,263.00",in-person,10 months
Supply Chain Analyst,PARLE BISCUITS PRIVATE LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Pune,B.Tech,"2,155.00",hybrid,12 months
Supply Chain Analyst,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"Marketing, Brand Management",Ahmedabad,MBA,"7,933.00",in-person,12 months
Environmental Officer,TATA STEEL LIMITED,"Geology, Ore Processing",Pune,BBA,"9,128.00",in-person,10 months
DevOps Engineer,WELLS FARGO INTERNATIONAL SOLUTIONS PRIVATE LIMITED,"React, Python",Pune,B.Sc,"4,559.00",in-person,4 months
Production Engineer,BHARAT DYNAMICS LIMITED,"Manufacturing, Quality Control",Pune,M.Sc,"8,206.00",in-person,9 months
Web Developer,J. P. MORGAN SERVICES INDIA PRIVATE LIMITED,"Python, SQL, React",Chennai,B.Sc,"5,348.00",hybrid,7 months
Data Analyst,CORTEVA AGRISCIENCE SEEDS PRIVATE LIMITED,"Cloud Computing, JavaScript, Python",Bangalore,BA,"3,200.00",online,10 months
Geologist,BIOP STEELS & POWER PRIVATE LIMITED,"Surveying, Ore Processing, Environmental Compliance",Remote,M.Sc,"5,783.00",in-person,4 months
QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma,"2,134.00",hybrid,2 months
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA,"8,190.00",in-person,7 months
Civil Engineer,GUJARAT FLUOROCHEMICALS LIMITED,"Estimation, Construction Management, Safety Management",Ahmedabad,BBA,"6,366.00",online,5 months
System Integrator,STERLITE TECHNOLOGIES LIMITED,"5G Technology, Optical Fiber",Remote,Diploma,"5,188.00",online,4 months
Safety Officer,IRCON INTERNATIONAL LIMITED,"Project Management, Structural Design, Estimation",Jaipur,B.Tech,"2,399.00",online,12 months
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA,"9,545.00",in-person,9 months
Petroleum Engineer,GAIL (INDIA) LIMITED,"Safety Compliance, Reservoir Engineering, Refining, Pipeline Maintenance",Remote,B.Com,"1,806.00",in-person,10 months
DevOps Engineer,INFOSYS BPM LIMITED,"SQL, Cloud Computing, Java, JavaScript",Mumbai,M.Sc,"9,012.00",online,11 months
Distribution Executive,INTAS PHARMACEUTICALS LIMITED,"Sales, Supply Chain, Distribution",Mumbai,B.Tech,"6,811.00",in-person,5 months
Structural Engineer,K.P.R. MILL LIMITED,"Estimation, Safety Management, Construction Management",Pune,B.Tech,"7,391.00",hybrid,10 months
Product Manager,PIRAMAL PHARMA LIMITED,"Sales, Retail Management, Distribution, Product Development",Pune,B.Sc,"2,196.00",in-person,4 months
Machine Learning Engineer,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Java, Cybersecurity, Python",Hyderabad,B.Sc,"9,194.00",in-person,5 months
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com,"8,344.00",hybrid,4 months
Relationship Manager,HDFC BANK LIMITED,"Loan Processing, Financial Modeling, Auditing, Accounting",Mumbai,M.Sc,"2,865.00",in-person,9 months
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA,"2,819.00",online,10 months
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA,"8,203.00",in-person,4 months
Machine Learning Engineer,DXC TECHNOLOGY INDIA PRIVATE LIMITED,"DevOps, SQL",Delhi,BA,"4,559.00",online,7 months
IT Support,EICHER MOTORS LIMITED,"Python, Data Analysis",Chennai,BBA,"9,170.00",online,7 months
Data Analyst,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Cloud Computing, React",Ahmedabad,M.Sc,"4,814.00",hybrid,4 months
DevOps Engineer,ZEROIDA BROKING LIMITED,"DevOps, Cloud Computing",Remote,M.Sc,"3,506.00",hybrid,9 months
Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA,"9,168.00",in-person,11 months
Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech,"3,086.00",hybrid,5 months
Process Engineer,NAYARA ENERGY LIMITED,"Safety Compliance, Geology",Kolkata,B.Sc,"6,535.00",hybrid,2 months
IT Support,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"JavaScript, React, Cloud Computing, DevOps",Remote,MBA,"8,150.00",in-person,6 months
QA Engineer,SUNDARAM FINANCE LIMITED,"Python, SQL, Java, Machine Learning",Mumbai,MBA,"6,200.00",in-person,11 months
Cloud Architect,ESCORTS KUBOTA LIMITED,"Data Analysis, Cybersecurity",Ahmedabad,Diploma,"6,133.00",in-person,11 months
QA Engineer,GOOGLE IT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, Java, DevOps",Kolkata,B.Com,"5,550.00",online,3 months
Web Developer,PERSISTENT SYSTEMS LIMITED,"Cloud Computing, React, Java, Cybersecurity",Remote,BCA,"5,471.00",in-person,9 months
Safety Officer,BRAHMAPUTRA CRACKER AND POLYMER LIMITED,"Structural Design, Surveying",Lucknow,PhD,"8,320.00",in-person,5 months
Project Engineer,THDC INDIA LIMITED,"Electrical Engineering, Renewable Energy, Power Plant Operations",Chennai,B.Com,"6,334.00",online,6 months
Power Plant Operator,POWER GRID CORPORATION OF INDIA LIMITED,"Grid Management, Maintenance",Kolkata,B.Com,"2,754.00",online,10 months
Surveyor,JSW STEEL COATED PRODUCTS LIMITED,"Exploration, Surveying",Jaipur,B.Tech,"7,935.00",hybrid,7 months
Machine Learning Engineer,VOLTAS LIMITED,"Cybersecurity, React",Jaipur,PhD,"6,748.00",hybrid,4 months
Cloud Architect,EIT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, DevOps, Cybersecurity",Ahmedabad,B.Tech,"9,617.00",online,12 months
Supply Chain Analyst,UPL LIMITED,"Brand Management, Distribution",Kolkata,B.Sc,"8,617.00",in-person,6 months
Exploration Geologist,HINDALCO INDUSTRIES LIMITED,"Safety Management, Exploration, Environmental Compliance, Surveying",Hyderabad,MBA,"7,596.00",hybrid,6 months
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA,"8,320.00",hybrid,5 months
IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc,"8,338.00",online,6 months
Loan Officer,IDFC FIRST BANK LIMITED,"Taxation, Wealth Management",Hyderabad,B.Tech,"9,040.00",hybrid,8 months
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA,"5,181.00",online,12 months
IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD,"6,664.00",hybrid,2 months
Cloud Architect,EDGEVERVE SYSTEMS LIMITED,"Cloud Computing, DevOps, Java",Jaipur,Diploma,"2,931.00",in-person,2 months
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc,"9,859.00",online,10 months
Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA,"7,304.00",hybrid,2 months
Cloud Architect,SBI FUNDS MANAGEMENT LIMITED,"React, DevOps",Kolkata,BBA,"6,508.00",in-person,2 months
Data Analyst,VODAFONE IDEA LIMITED,"IoT, Wireless Communication, 5G Technology",Kolkata,B.Sc,"8,680.00",hybrid,12 months
Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA,"6,957.00",hybrid,12 months
Web Developer,AMARA RAJA ENERGY & MOBILITY LIMITED,"Data Analysis, Python, React",Chennai,BBA,"8,799.00",hybrid,3 months
Web Developer,REC LIMITED,"Data Analysis, DevOps, Java",Mumbai,BCA,"7,605.00",hybrid,4 months
Retail Manager,PIRAMAL PHARMA LIMITED,"Product Development, Supply Chain, Retail Management",Delhi,B.Sc,"5,115.00",in-person,6 months
QA Engineer,EICHER MOTORS LIMITED,"Python, JavaScript",Bangalore,BBA,"9,506.00",in-person,4 months
Construction Manager,MSPL LIMITED,"Construction Management, Estimation, Civil Engineering",Lucknow,B.Tech,"2,681.00",online,9 months
Retail Manager,COLGATE-PALMOLIVE (INDIA) LIMITED,"Supply Chain, Consumer Insights",Kolkata,B.Com,"7,793.00",hybrid,9 months
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD,"6,541.00",in-person,4 months
Web Developer,PERSISTENT SYSTEMS LIMITED,"Cloud Computing, React, Java, Cybersecurity",Remote,BCA,"5,834.00",online,9 months
Machine Learning Engineer,ESCORTS KUBOTA LIMITED,"Machine Learning, Data Analysis, Python, SQL",Chennai,BBA,"9,238.00",in-person,2 months
Data Analyst,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Java, Data Analysis, SQL, Machine Learning",Bangalore,M.Sc,"8,171.00",online,2 months
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Safety Management, Mineral Processing, Environmental Compliance",Ahmedabad,BA,"7,183.00",in-person,5 months
DevOps Engineer,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"DevOps, Java",Remote,B.Tech,"7,918.00",in-person,5 months
Cloud Architect,EDGEVERVE SYSTEMS LIMITED,"Cloud Computing, DevOps, Java",Jaipur,Diploma,"5,230.00",online,6 months
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA,"3,405.00",in-person,2 months
Civil Engineer,ASHOKA BUILDCON LIMITED,"Surveying, Estimation",Mumbai,PhD,"4,956.00",online,5 months
