candidate_skills,candidate_location,candidate_education,internship_title,internship_company,required_skills,internship_location,required_education
"Pharmacology, Regulatory Affairs, Clinical Research, Distribution, Product Development, Consumer Insights, Data Transmission, IoT",Hyderabad,BA,Data Analyst,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"Data Analysis, Cloud Computing, Machine Learning, React",Chennai,PhD
"Pharmacology, Regulatory Affairs, Clinical Research, Distribution, Product Development, Consumer Insights, Data Transmission, IoT",Hyderabad,BA,IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
"Pharmacology, Regulatory Affairs, Clinical Research, Distribution, Product Development, Consumer Insights, Data Transmission, IoT",Hyderabad,BA,Civil Engineer,NCC LIMITED,"Surveying, Construction Management, Estimation, Civil Engineering",Delhi,BBA
"Refining, Reservoir Engineering",Lucknow,B.Sc,Maintenance Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Electrical Engineering, Transmission, Grid Management, Maintenance",Remote,MBA
"Refining, Reservoir Engineering",Lucknow,B.Sc,Supply Chain Analyst,PI INDUSTRIES LIMITED,"Supply Chain, Retail Management, Marketing, Distribution",Lucknow,BA
"Refining, Reservoir Engineering",Lucknow,B.Sc,Data Analyst,FINOLEX CABLES LIMITED,"Python, Cloud Computing",Bangalore,B.Sc
"Refining, Reservoir Engineering",Lucknow,B.Sc,Maintenance Engineer,TORRENT POWER LIMITED,"Electrical Engineering, Grid Management",Lucknow,B.Sc
"Refining, Reservoir Engineering",Lucknow,B.Sc,Software Developer,CYIENT LIMITED,"Cybersecurity, SQL, Data Analysis, Python",Lucknow,PhD
"Refining, Reservoir Engineering",Lucknow,B.Sc,IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
"Refining, Reservoir Engineering",Lucknow,B.Sc,Civil Engineer,GHCL LIMITED,"Project Management, Civil Engineering, Structural Design, Surveying",Chennai,BCA
"Refining, Reservoir Engineering",Lucknow,B.Sc,Web Developer,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"JavaScript, React",Kolkata,M.Sc
"Refining, Reservoir Engineering",Lucknow,B.Sc,Brand Manager,FRIGORIFICO ALLANA PRIVATE LIMITED,"Distribution, Product Development, Supply Chain, Marketing",Remote,MBA
"Refining, Reservoir Engineering",Lucknow,B.Sc,Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech
"Testing, Project Management, Safety Management",Pune,BCA,Petroleum Engineer,ADANI TOTAL GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance",Lucknow,MBA
"Testing, Project Management, Safety Management",Pune,BCA,Retail Manager,LAURUS LABS LIMITED,"Product Development, Retail Management",Kolkata,MBA
"Testing, Project Management, Safety Management",Pune,BCA,Software Developer,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing",Mumbai,BA
"Testing, Project Management, Safety Management",Pune,BCA,Process Engineer,OIL AND NATURAL GAS CORPORATION LIMITED,"Field Operations, Safety Compliance, Reservoir Engineering, Petroleum Engineering",Jaipur,PhD
"Testing, Project Management, Safety Management",Pune,BCA,Treasury Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Financial Analysis, Risk Management, Investment Banking",Remote,MBA
"Testing, Project Management, Safety Management",Pune,BCA,Brand Manager,SHARDA CROPCHEM LIMITED,"Sales, Retail Management, Marketing, Supply Chain",Delhi,Diploma
"Testing, Project Management, Safety Management",Pune,BCA,Construction Manager,GHARDA CHEMICALS LIMITED,"Safety Management, Quality Control",Jaipur,BA
"Testing, Project Management, Safety Management",Pune,BCA,QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
"Testing, Project Management, Safety Management",Pune,BCA,DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma
"Testing, Project Management, Safety Management",Pune,BCA,Data Analyst,WIPRO LIMITED,"Python, Machine Learning, JavaScript, DevOps",Hyderabad,Diploma
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Safety Officer,IRCON INTERNATIONAL LIMITED,"Project Management, Structural Design, Estimation",Jaipur,B.Tech
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Machine Learning Engineer,CUMMINS INDIA LIMITED,"Java, DevOps",Pune,BCA
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,IT Support,JAQUAR AND COMPANY PRIVATE LIMITED,"Cybersecurity, Data Analysis, Machine Learning",Jaipur,BCA
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Machine Learning Engineer,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, SQL",Bangalore,BCA
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"Cloud Computing, Machine Learning, React",Kolkata,B.Sc
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"Java, JavaScript",Lucknow,BBA
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Consumer Insights Analyst,SERUM INSTITUTE LIFE SCIENCES PRIVATE LIMITED,"Consumer Insights, Distribution, Product Development, Marketing",Pune,B.Sc
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
"Estimation, Quality Control, Operations Management, Leadership, Marketing, Innovation, Chemical Engineering",Jaipur,BA,Retail Manager,LUPIN LIMITED,"Consumer Insights, Brand Management, Retail Management, Product Development",Chennai,BA
"Loan Processing, Accounting",Mumbai,B.Com,Machine Learning Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Data Analysis, Machine Learning, React",Mumbai,BBA
"Loan Processing, Accounting",Mumbai,B.Com,IT Support,GENPACT INDIA PRIVATE LIMITED,"Machine Learning, SQL",Bangalore,B.Sc
"Loan Processing, Accounting",Mumbai,B.Com,Software Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Python, Java, Cybersecurity, Cloud Computing",Remote,BCA
"Loan Processing, Accounting",Mumbai,B.Com,Project Engineer,THDC INDIA LIMITED,"Electrical Engineering, Renewable Energy, Power Plant Operations",Chennai,B.Com
"Loan Processing, Accounting",Mumbai,B.Com,Data Analyst,INFO EDGE (INDIA) LIMITED,"Data Analysis, DevOps, Cybersecurity",Chennai,Diploma
"Loan Processing, Accounting",Mumbai,B.Com,Site Engineer,APCO INFRATECH PRIVATE LIMITED,"Civil Engineering, Quality Control, Safety Management, Surveying",Lucknow,BBA
"Loan Processing, Accounting",Mumbai,B.Com,Product Manager,JOHNSON & JOHNSON PRIVATE LIMITED,"Marketing, Brand Management, Consumer Insights",Bangalore,BA
"Loan Processing, Accounting",Mumbai,B.Com,DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"JavaScript, Cloud Computing",Kolkata,Diploma
"Loan Processing, Accounting",Mumbai,B.Com,Mineral Processing Engineer,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,"Surveying, Exploration, Environmental Compliance, Ore Processing",Ahmedabad,B.Com
"Loan Processing, Accounting",Mumbai,B.Com,Web Developer,PNB HOUSING FINANCE LIMITED,"Machine Learning, Java, React",Mumbai,BA
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Sales Executive,PATANJALI FOODS LIMITED,"Retail Management, Brand Management, Supply Chain",Pune,BBA
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Mining Engineer,BHARAT ALUMINIUM CO LTD,"Ore Processing, Mining Engineering, Mineral Processing, Safety Management",Bangalore,PhD
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,IT Support,BA CONTINUUM INDIA PRIVATE LIMITED,"SQL, React, Machine Learning, JavaScript",Bangalore,B.Sc
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Software Developer,BERGER PAINTS INDIA LIMITED,"DevOps, React",Chennai,M.Sc
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Treasury Analyst,RBL BANK LIMITED,"Auditing, Taxation",Remote,PhD
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,DevOps Engineer,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Java, React, Machine Learning, Cloud Computing",Lucknow,BA
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Retail Manager,GODREJ CONSUMER PRODUCTS LIMITED,"Supply Chain, Marketing, Product Development, Consumer Insights",Jaipur,Diploma
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Machine Learning Engineer,WHIRLPOOL OF INDIA LIMITED,"Cybersecurity, SQL",Delhi,BCA
"Product Design, Sales, Quality Control, Maintenance",Jaipur,B.Com,Sales Executive,ITC LIMITED,"Product Development, Retail Management",Mumbai,BCA
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Product Manager,JOHNSON & JOHNSON PRIVATE LIMITED,"Marketing, Brand Management, Consumer Insights",Bangalore,BA
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Environmental Officer,TATA STEEL LIMITED,"Geology, Ore Processing",Pune,BBA
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, JavaScript",Bangalore,M.Sc
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Surveyor,CATERPILLAR INDIA PRIVATE LIMITED,"Quality Control, Civil Engineering, Surveying, Estimation",Kolkata,BA
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Safety Officer,HINDALCO INDUSTRIES LIMITED,"Environmental Compliance, Ore Processing, Safety Management",Delhi,BA
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,IT Support,ENDURANCE TECHNOLOGIES LIMITED,"Java, SQL, Python, JavaScript",Kolkata,MBA
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Project Engineer,DEEPAK NITRITE LIMITED,"Estimation, Civil Engineering, Structural Design",Remote,B.Tech
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"React, Java, JavaScript",Lucknow,PhD
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Project Engineer,IRCON INTERNATIONAL LIMITED,"Estimation, Safety Management, Construction Management, Civil Engineering",Lucknow,Diploma
"Transportation, Supply Chain Management, Inventory Management, Quality Control, Product Design, Manufacturing, Testing",Pune,B.Sc,Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,Grid Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Grid Management",Delhi,M.Sc
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,IT Support,JAQUAR AND COMPANY PRIVATE LIMITED,"Cybersecurity, Data Analysis, Machine Learning",Jaipur,BCA
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Thermal Power, Renewable Energy",Remote,MBA
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,DevOps Engineer,ENDURANCE TECHNOLOGIES LIMITED,"Python, Cloud Computing, SQL, Data Analysis",Hyderabad,PhD
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,DevOps Engineer,AMARA RAJA ENERGY & MOBILITY LIMITED,"React, Python, Cybersecurity, Java",Ahmedabad,PhD
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"Python, JavaScript, Java, Cybersecurity",Pune,B.Sc
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
"Compliance, Claims Processing, Underwriting, Digital Marketing, Video Editing, Broadcasting, Process Engineering, Battery Design, Research, Electrochemistry",Jaipur,Diploma,Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Taxation",Pune,MBA
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Web Developer,REC LIMITED,"Python, Machine Learning",Lucknow,M.Sc
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Quality Engineer,APPLE INDIA PRIVATE LIMITED,"Circuit Design, Manufacturing",Ahmedabad,B.Sc
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Treasury Analyst,INDUSIND BANK LTD.,"Investment Banking, Accounting, Risk Management, Taxation",Kolkata,BCA
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,IT Support,LTIMINDTREE LIMITED,"Data Analysis, Cybersecurity",Bangalore,BBA
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Supply Chain Analyst,RITES LIMITED,"Inventory Management, Logistics Planning, Distribution",Pune,BCA
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Quality Inspector,ENGINEERS INDIA LIMITED,"Project Management, Surveying, Construction Management",Ahmedabad,B.Sc
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Consumer Insights Analyst,ZYDUS LIFESCIENCES LIMITED,"Distribution, Marketing, Sales",Lucknow,B.Tech
"React, JavaScript, DevOps, Energy Efficiency, Renewable Energy, Thermal Power, Mining Operations, Plant Operations",Jaipur,MBA,Web Developer,HDFC SECURITIES LIMITED,"Python, JavaScript, React, DevOps",Chennai,PhD
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,QA Engineer,STAR INDIA PRIVATE LIMITED,"Python, SQL, Cybersecurity, Java",Hyderabad,MBA
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Machine Learning Engineer,MARUTI SUZUKI INDIA LIMITED,"JavaScript, Machine Learning, Java, Python",Remote,B.Tech
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Software Developer,ORACLE INDIA PRIVATE LIMITED,"Python, DevOps, Data Analysis, Cloud Computing",Remote,PhD
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Power Plant Operator,POWER GRID CORPORATION OF INDIA LIMITED,"Grid Management, Maintenance",Kolkata,B.Com
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,DevOps Engineer,JOHN DEERE INDIA PRIVATE LIMITED,"JavaScript, SQL, React, Cloud Computing",Bangalore,B.Com
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Software Developer,IIFL HOME FINANCE LIMITED,"JavaScript, Java, SQL, DevOps",Bangalore,B.Tech
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Site Engineer,WONDER CEMENT LIMITED,"Civil Engineering, Structural Design",Ahmedabad,B.Sc
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Brand Manager,LUPIN LIMITED,"Marketing, Distribution, Sales",Kolkata,B.Tech
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,Financial Analyst,SBI LIFE INSURANCE COMPANY LIMITED,"Risk Management, Auditing",Remote,PhD
"Network Engineering, Data Transmission, Telecom Infrastructure, Extrusion, Molding, Accounting, Wealth Management, Investment, Financial Analysis",Hyderabad,M.Sc,QA Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Data Analysis, JavaScript",Chennai,BBA
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Safety Officer,KARNATAKA RURAL INFRASTRUCTURE DEVELOPMENT LIMITED,"Structural Design, Construction Management, Estimation",Delhi,B.Tech
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"Java, JavaScript",Lucknow,BBA
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Geologist,BIOP STEELS & POWER PRIVATE LIMITED,"Surveying, Ore Processing, Environmental Compliance",Remote,M.Sc
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Supply Chain Analyst,RITES LIMITED,"Warehouse Operations, Logistics Planning, Freight Management, Transportation",Ahmedabad,Diploma
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Warehouse Manager,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Distribution, Inventory Management, Transportation, Logistics Planning",Jaipur,PhD
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Data Analyst,BALRAMPUR CHINI MILLS LTD,"DevOps, React, SQL",Remote,BA
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,QA Engineer,PRESTIGE ESTATES PROJECTS LIMITED,"Java, Python, React, JavaScript",Kolkata,BBA
"Surveying, Project Management, Quality Control, Civil Engineering, Taxation, Wealth Management, Financial Analysis, Investment Banking, Research, Sustainable Farming, Agricultural Machinery, Crop Management",Mumbai,MBA,Retail Manager,DIVI S LABORATORIES LIMITED,"Brand Management, Product Development, Supply Chain, Marketing",Pune,BA
"Equipment Maintenance, Exploration",Delhi,M.Sc,Surveyor,D P F TEXTILES PRIVATE LIMITED,"Structural Design, Project Management, Safety Management",Bangalore,B.Sc
"Equipment Maintenance, Exploration",Delhi,M.Sc,Site Engineer,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Project Management, Estimation, Surveying",Mumbai,B.Tech
"Equipment Maintenance, Exploration",Delhi,M.Sc,Cloud Architect,EIT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, DevOps, Cybersecurity",Ahmedabad,B.Tech
"Equipment Maintenance, Exploration",Delhi,M.Sc,Production Engineer,BHARAT DYNAMICS LIMITED,"Manufacturing, Quality Control",Pune,M.Sc
"Equipment Maintenance, Exploration",Delhi,M.Sc,Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
"Equipment Maintenance, Exploration",Delhi,M.Sc,QA Engineer,MUTHOOT FINANCE LIMITED,"Data Analysis, SQL, JavaScript, Cybersecurity",Bangalore,BCA
"Equipment Maintenance, Exploration",Delhi,M.Sc,Web Developer,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"React, Python, Data Analysis",Chennai,Diploma
"Equipment Maintenance, Exploration",Delhi,M.Sc,Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
"Equipment Maintenance, Exploration",Delhi,M.Sc,Construction Manager,ATUL LIMITED,"Safety Management, Civil Engineering, Quality Control",Jaipur,B.Sc
"Equipment Maintenance, Exploration",Delhi,M.Sc,Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Site Engineer,ATUL LIMITED,"Estimation, Surveying",Pune,B.Com
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"DevOps, Cloud Computing",Chennai,BA
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Civil Engineer,NCC LIMITED,"Surveying, Construction Management, Estimation, Civil Engineering",Delhi,BBA
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,IT Support,BA CONTINUUM INDIA PRIVATE LIMITED,"SQL, React, Machine Learning, JavaScript",Bangalore,B.Sc
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,Cloud Architect,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Java, React, JavaScript, Cloud Computing",Jaipur,BA
"Wealth Management, Investment Banking, Treatment Planning, Pharmacy, Nursing, Patient Care, Project Management, Welding, Testing",Chennai,BCA,QA Engineer,HSBC SOFTWARE DEVELOPMENT (INDIA) PRIVATE LIMITED,"Cybersecurity, Machine Learning",Pune,BBA
"Packaging, Brewing",Kolkata,B.Sc,Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
"Packaging, Brewing",Kolkata,B.Sc,Brand Manager,FRIGORIFICO ALLANA PRIVATE LIMITED,"Distribution, Product Development, Supply Chain, Marketing",Remote,MBA
"Packaging, Brewing",Kolkata,B.Sc,Mining Engineer,HINDUSTAN ZINC LIMITED,"Mining Engineering, Surveying",Chennai,BBA
"Packaging, Brewing",Kolkata,B.Sc,Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA
"Packaging, Brewing",Kolkata,B.Sc,IT Support,MPHASIS LIMITED,"DevOps, Python, SQL",Hyderabad,M.Sc
"Packaging, Brewing",Kolkata,B.Sc,Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA
