internship_title,internship_company,required_skills,internship_location,required_education
Project Engineer,THDC INDIA LIMITED,"Electrical Engineering, Renewable Energy, Power Plant Operations",Chennai,B.Com
Power Plant Operator,POWER GRID CORPORATION OF INDIA LIMITED,"Grid Management, Maintenance",Kolkata,B.Com
Surveyor,JSW STEEL COATED PRODUCTS LIMITED,"Exploration, Surveying",Jaipur,B.Tech
Machine Learning Engineer,VOLTAS LIMITED,"Cybersecurity, React",Jaipur,PhD
Cloud Architect,EIT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, DevOps, Cybersecurity",Ahmedabad,B.Tech
Supply Chain Analyst,UPL LIMITED,"Brand Management, Distribution",Kolkata,B.Sc
Exploration Geologist,HINDALCO INDUSTRIES LIMITED,"Safety Management, Exploration, Environmental Compliance, Surveying",Hyderabad,MBA
Credit Analyst,THE FEDERAL BANK LTD,"Investment Banking, Financial Modeling",Mumbai,BBA
IT Support,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Machine Learning, DevOps",Pune,B.Sc
Loan Officer,IDFC FIRST BANK LIMITED,"Taxation, Wealth Management",Hyderabad,B.Tech
Software Developer,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"Cybersecurity, SQL, Machine Learning, DevOps",Pune,BA
IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD
Cloud Architect,EDGEVERVE SYSTEMS LIMITED,"Cloud Computing, DevOps, Java",Jaipur,Diploma
Software Developer,COCHIN SHIPYARD LIMITED,"React, SQL",Chennai,B.Sc
Site Engineer,NHDC LIMITED,"Quality Control, Estimation, Structural Design",Kolkata,MBA
Cloud Architect,SBI FUNDS MANAGEMENT LIMITED,"React, DevOps",Kolkata,BBA
Data Analyst,VODAFONE IDEA LIMITED,"IoT, Wireless Communication, 5G Technology",Kolkata,B.Sc
Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA
Web Developer,AMARA RAJA ENERGY & MOBILITY LIMITED,"Data Analysis, Python, React",Chennai,BBA
Web Developer,REC LIMITED,"Data Analysis, DevOps, Java",Mumbai,BCA
Retail Manager,PIRAMAL PHARMA LIMITED,"Product Development, Supply Chain, Retail Management",Delhi,B.Sc
QA Engineer,EICHER MOTORS LIMITED,"Python, JavaScript",Bangalore,BBA
Construction Manager,MSPL LIMITED,"Construction Management, Estimation, Civil Engineering",Lucknow,B.Tech
Retail Manager,COLGATE-PALMOLIVE (INDIA) LIMITED,"Supply Chain, Consumer Insights",Kolkata,B.Com
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
Web Developer,PERSISTENT SYSTEMS LIMITED,"Cloud Computing, React, Java, Cybersecurity",Remote,BCA
Machine Learning Engineer,ESCORTS KUBOTA LIMITED,"Machine Learning, Data Analysis, Python, SQL",Chennai,BBA
Data Analyst,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Java, Data Analysis, SQL, Machine Learning",Bangalore,M.Sc
Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Safety Management, Mineral Processing, Environmental Compliance",Ahmedabad,BA
DevOps Engineer,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"DevOps, Java",Remote,B.Tech
Cloud Architect,EDGEVERVE SYSTEMS LIMITED,"Cloud Computing, DevOps, Java",Jaipur,Diploma
Safety Officer,THE RAMCO CEMENTS LIMITED,"Project Management, Quality Control, Construction Management",Mumbai,BCA
Civil Engineer,ASHOKA BUILDCON LIMITED,"Surveying, Estimation",Mumbai,PhD
Structural Engineer,KNR CONSTRUCTIONS LIMITED,"Safety Management, Surveying, Civil Engineering, Project Management",Remote,MBA
Financial Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Wealth Management, Risk Management",Chennai,PhD
DevOps Engineer,YARDI SOFTWARE INDIA PRIVATE LIMITED,"Cybersecurity, Machine Learning",Delhi,B.Tech
Reservoir Engineer,INOX AIR PRODUCTS PRIVATE LIMITED,"Safety Compliance, Field Operations",Bangalore,PhD
QA Engineer,EICHER MOTORS LIMITED,"Python, JavaScript",Bangalore,BBA
Surveyor,RASHTRIYA CHEMICALS AND FERTILIZERS LIMITED,"Construction Management, Quality Control",Pune,B.Tech
DevOps Engineer,ZEROIDA BROKING LIMITED,"DevOps, Cloud Computing",Remote,M.Sc
IT Support,GENPACT INDIA PRIVATE LIMITED,"Machine Learning, SQL",Bangalore,B.Sc
Reservoir Engineer,HPCL-MITTAL ENERGY LIMITED,"Geology, Pipeline Maintenance, Reservoir Engineering",Chennai,MBA
Maintenance Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Electrical Engineering, Transmission, Grid Management, Maintenance",Remote,MBA
Surveyor,TUBE INVESTMENTS OF INDIA LIMITED,"Exploration, Geology, Mineral Processing",Chennai,MBA
Sales Executive,EMAMI LIMITED,"Brand Management, Sales, Marketing, Retail Management",Remote,MBA
Machine Learning Engineer,KIRAN GEMS PRIVATE LIMITED,"JavaScript, Java, Python",Kolkata,BA
Petroleum Engineer,INDIAN OIL CORPORATION LIMITED,"Geology, Drilling Operations",Delhi,BCA
IT Support,HERO MOTOCORP LIMITED,"JavaScript, Data Analysis",Remote,MBA
Data Analyst,FINOLEX CABLES LIMITED,"Python, Cloud Computing",Bangalore,B.Sc
Data Analyst,BALRAMPUR CHINI MILLS LTD,"Cybersecurity, JavaScript, Machine Learning, DevOps",Remote,BCA
Web Developer,ATRIA CONVERGENCE TECHNOLOGIES LIMITED,"Cybersecurity, SQL",Delhi,B.Sc
Safety Officer,INDRAPRASTHA GAS LIMITED,"Pipeline Maintenance, Petroleum Engineering, Safety Compliance, Reservoir Engineering",Pune,BA
Cloud Architect,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"React, Data Analysis",Remote,B.Sc
Ore Processing Technician,INDIAN METALS AND FERRO ALLOYS LTD.,"Safety Management, Mineral Processing, Exploration, Environmental Compliance",Hyderabad,BBA
Risk Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Risk Management, Taxation",Pune,B.Tech
Grid Engineer,JSW ENERGY (BARMER) LIMITED,"Transmission, Thermal Power, Energy Efficiency",Chennai,BCA
Customer Support Engineer,INDUS TOWERS LIMITED,"Data Transmission, Wireless Communication",Kolkata,MBA
Surveyor,ESSEL MINING & INDUSTRIES LTD.,"Ore Processing, Environmental Compliance, Surveying, Safety Management",Remote,B.Sc
Mining Engineer,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Exploration, Mineral Processing",Jaipur,BCA
Consumer Insights Analyst,USV PRIVATE LIMITED,"Supply Chain, Distribution, Product Development",Remote,B.Tech
Distribution Executive,UPL LIMITED,"Brand Management, Consumer Insights, Distribution, Marketing",Bangalore,B.Tech
Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
Civil Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Estimation, Project Management, Quality Control, Safety Management",Ahmedabad,B.Tech
Cloud Architect,NATIONAL PAYMENTS CORPORATION OF INDIA,"Python, DevOps, Data Analysis",Remote,PhD
QA Engineer,NOVATEUR ELECTRICAL & DIGITAL SYSTEMS PRIVATE LIMITED,"Java, JavaScript, React",Mumbai,M.Sc
Web Developer,BAJAJ FINANCE LIMITED,"DevOps, Machine Learning",Remote,M.Sc
Machine Learning Engineer,CORTEVA AGRISCIENCE SEEDS PRIVATE LIMITED,"Java, Cloud Computing, Machine Learning, DevOps",Ahmedabad,PhD
Credit Analyst,TATA AIG GENERAL INSURANCE COMPANY LIMITED,"Financial Analysis, Risk Management, Investment Banking",Remote,BA
Cloud Architect,SBI CARDS AND PAYMENT SERVICES LIMITED,"JavaScript, Java",Mumbai,M.Sc
Design Engineer,THDC INDIA LIMITED,"Power Plant Operations, Thermal Power, Renewable Energy",Delhi,MBA
Software Developer,IIFL HOME FINANCE LIMITED,"JavaScript, Java, SQL, DevOps",Bangalore,B.Tech
Web Developer,TVS MOTOR COMPANY LIMITED,"JavaScript, Data Analysis, Cloud Computing, React",Hyderabad,B.Sc
Retail Manager,GILLETTE INDIA LIMITED,"Consumer Insights, Distribution, Marketing, Retail Management",Chennai,BCA
IT Support,EICHER MOTORS LIMITED,"Python, Data Analysis",Chennai,BBA
Surveyor,MSPL LIMITED,"Estimation, Structural Design",Jaipur,MBA
QA Engineer,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Data Analysis, Python, React",Pune,M.Sc
Web Developer,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"DevOps, Cybersecurity, Java",Delhi,Diploma
Risk Analyst,THE KARNATAKA BANK LIMITED,"Financial Analysis, Risk Management, Wealth Management, Financial Modeling",Mumbai,M.Sc
Site Engineer,DEEPAK NITRITE LIMITED,"Project Management, Civil Engineering, Safety Management",Lucknow,Diploma
RF Engineer,VODAFONE IDEA LIMITED,"Network Engineering, Wireless Communication, 5G Technology, IoT",Mumbai,B.Com
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
Structural Engineer,K.P.R. MILL LIMITED,"Construction Management, Estimation",Hyderabad,BA
Safety Officer,PATAKA INDUSTRIES PRIVATE LIMITED,"Estimation, Surveying, Civil Engineering, Structural Design",Mumbai,B.Tech
Machine Learning Engineer,BAGMANE DEVELOPERS PRIVATE LIMITED,"Cloud Computing, Data Analysis, Python",Kolkata,B.Sc
Civil Engineer,AARTI INDUSTRIES LTD,"Civil Engineering, Surveying, Project Management, Construction Management",Delhi,BCA
Data Analyst,SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED,"Data Analysis, Cloud Computing, Machine Learning, React",Chennai,PhD
IT Support,KIRAN GEMS PRIVATE LIMITED,"DevOps, Data Analysis, Cloud Computing, Java",Jaipur,BA
Civil Engineer,NCC LIMITED,"Surveying, Construction Management, Estimation, Civil Engineering",Delhi,BBA
Maintenance Engineer,NUCLEAR POWER CORPORATION OF INDIA LIMITED,"Electrical Engineering, Transmission, Grid Management, Maintenance",Remote,MBA
Supply Chain Analyst,PI INDUSTRIES LIMITED,"Supply Chain, Retail Management, Marketing, Distribution",Lucknow,BA
Data Analyst,FINOLEX CABLES LIMITED,"Python, Cloud Computing",Bangalore,B.Sc
Maintenance Engineer,TORRENT POWER LIMITED,"Electrical Engineering, Grid Management",Lucknow,B.Sc
Software Developer,CYIENT LIMITED,"Cybersecurity, SQL, Data Analysis, Python",Lucknow,PhD
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
Civil Engineer,GHCL LIMITED,"Project Management, Civil Engineering, Structural Design, Surveying",Chennai,BCA
Web Developer,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,"JavaScript, React",Kolkata,M.Sc
Brand Manager,FRIGORIFICO ALLANA PRIVATE LIMITED,"Distribution, Product Development, Supply Chain, Marketing",Remote,MBA
Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech
Petroleum Engineer,ADANI TOTAL GAS LIMITED,"Geology, Field Operations, Pipeline Maintenance",Lucknow,MBA
Retail Manager,LAURUS LABS LIMITED,"Product Development, Retail Management",Kolkata,MBA
Software Developer,FIDELITY BUSINESS SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, Machine Learning, Cloud Computing",Mumbai,BA
Process Engineer,OIL AND NATURAL GAS CORPORATION LIMITED,"Field Operations, Safety Compliance, Reservoir Engineering, Petroleum Engineering",Jaipur,PhD
Treasury Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Financial Analysis, Risk Management, Investment Banking",Remote,MBA
Brand Manager,SHARDA CROPCHEM LIMITED,"Sales, Retail Management, Marketing, Supply Chain",Delhi,Diploma
Construction Manager,GHARDA CHEMICALS LIMITED,"Safety Management, Quality Control",Jaipur,BA
QA Engineer,HDB FINANCIAL SERVICES LIMITED,"Java, Python, Machine Learning, Cybersecurity",Kolkata,B.Sc
DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma
Data Analyst,WIPRO LIMITED,"Python, Machine Learning, JavaScript, DevOps",Hyderabad,Diploma
Safety Officer,IRCON INTERNATIONAL LIMITED,"Project Management, Structural Design, Estimation",Jaipur,B.Tech
Machine Learning Engineer,CUMMINS INDIA LIMITED,"Java, DevOps",Pune,BCA
IT Support,JAQUAR AND COMPANY PRIVATE LIMITED,"Cybersecurity, Data Analysis, Machine Learning",Jaipur,BCA
Machine Learning Engineer,PIRAMAL CAPITAL & HOUSING FINANCE LIMITED,"React, SQL",Bangalore,BCA
Software Developer,BOSCH GLOBAL SOFTWARE TECHNOLOGIES PRIVATE LIMITED,"Cloud Computing, Machine Learning, React",Kolkata,B.Sc
Software Developer,SUPER CASSETTES INDUSTRIES PRIVATE LIMITED,"Data Analysis, Cloud Computing, Java",Delhi,M.Sc
Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"Java, JavaScript",Lucknow,BBA
Consumer Insights Analyst,SERUM INSTITUTE LIFE SCIENCES PRIVATE LIMITED,"Consumer Insights, Distribution, Product Development, Marketing",Pune,B.Sc
QA Engineer,KOTAK SECURITIES LIMITED,"React, DevOps",Bangalore,Diploma
Retail Manager,LUPIN LIMITED,"Consumer Insights, Brand Management, Retail Management, Product Development",Chennai,BA
Machine Learning Engineer,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,"Data Analysis, Machine Learning, React",Mumbai,BBA
IT Support,GENPACT INDIA PRIVATE LIMITED,"Machine Learning, SQL",Bangalore,B.Sc
Software Developer,CITIGROUP GLOBAL MARKETS INDIA PRIVATE LIMITED,"Python, Java, Cybersecurity, Cloud Computing",Remote,BCA
Project Engineer,THDC INDIA LIMITED,"Electrical Engineering, Renewable Energy, Power Plant Operations",Chennai,B.Com
Data Analyst,INFO EDGE (INDIA) LIMITED,"Data Analysis, DevOps, Cybersecurity",Chennai,Diploma
Site Engineer,APCO INFRATECH PRIVATE LIMITED,"Civil Engineering, Quality Control, Safety Management, Surveying",Lucknow,BBA
Product Manager,JOHNSON & JOHNSON PRIVATE LIMITED,"Marketing, Brand Management, Consumer Insights",Bangalore,BA
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"JavaScript, Cloud Computing",Kolkata,Diploma
Mineral Processing Engineer,GUJARAT MINERAL DEVELOPMENT CORPORATION LIMITED,"Surveying, Exploration, Environmental Compliance, Ore Processing",Ahmedabad,B.Com
Web Developer,PNB HOUSING FINANCE LIMITED,"Machine Learning, Java, React",Mumbai,BA
Sales Executive,PATANJALI FOODS LIMITED,"Retail Management, Brand Management, Supply Chain",Pune,BBA
Mining Engineer,BHARAT ALUMINIUM CO LTD,"Ore Processing, Mining Engineering, Mineral Processing, Safety Management",Bangalore,PhD
IT Support,BA CONTINUUM INDIA PRIVATE LIMITED,"SQL, React, Machine Learning, JavaScript",Bangalore,B.Sc
Software Developer,BERGER PAINTS INDIA LIMITED,"DevOps, React",Chennai,M.Sc
Treasury Analyst,RBL BANK LIMITED,"Auditing, Taxation",Remote,PhD
IT Support,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Cloud Computing, Python, Cybersecurity",Lucknow,B.Com
DevOps Engineer,STANDARD CHARTERED GLOBAL BUSINESS SERVICES PRIVATE LIMITED,"Java, React, Machine Learning, Cloud Computing",Lucknow,BA
Retail Manager,GODREJ CONSUMER PRODUCTS LIMITED,"Supply Chain, Marketing, Product Development, Consumer Insights",Jaipur,Diploma
Machine Learning Engineer,WHIRLPOOL OF INDIA LIMITED,"Cybersecurity, SQL",Delhi,BCA
Sales Executive,ITC LIMITED,"Product Development, Retail Management",Mumbai,BCA
Product Manager,JOHNSON & JOHNSON PRIVATE LIMITED,"Marketing, Brand Management, Consumer Insights",Bangalore,BA
Environmental Officer,TATA STEEL LIMITED,"Geology, Ore Processing",Pune,BBA
QA Engineer,HCL TECHNOLOGIES LIMITED,"Cloud Computing, JavaScript",Bangalore,M.Sc
Surveyor,CATERPILLAR INDIA PRIVATE LIMITED,"Quality Control, Civil Engineering, Surveying, Estimation",Kolkata,BA
Safety Officer,HINDALCO INDUSTRIES LIMITED,"Environmental Compliance, Ore Processing, Safety Management",Delhi,BA
IT Support,ENDURANCE TECHNOLOGIES LIMITED,"Java, SQL, Python, JavaScript",Kolkata,MBA
Project Engineer,DEEPAK NITRITE LIMITED,"Estimation, Civil Engineering, Structural Design",Remote,B.Tech
Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"React, Java, JavaScript",Lucknow,PhD
Project Engineer,IRCON INTERNATIONAL LIMITED,"Estimation, Safety Management, Construction Management, Civil Engineering",Lucknow,Diploma
Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
Machine Learning Engineer,CAN FIN HOMES LIMITED,"Cloud Computing, DevOps, Data Analysis",Jaipur,MBA
Grid Engineer,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Grid Management",Delhi,M.Sc
IT Support,JAQUAR AND COMPANY PRIVATE LIMITED,"Cybersecurity, Data Analysis, Machine Learning",Jaipur,BCA
Thermal Engineer,TANJORE POWER LIMITED,"Maintenance, Thermal Power, Renewable Energy",Remote,MBA
Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
DevOps Engineer,ENDURANCE TECHNOLOGIES LIMITED,"Python, Cloud Computing, SQL, Data Analysis",Hyderabad,PhD
DevOps Engineer,AMARA RAJA ENERGY & MOBILITY LIMITED,"React, Python, Cybersecurity, Java",Ahmedabad,PhD
DevOps Engineer,TAFE MOTORS AND TRACTORS LIMITED,"Python, JavaScript, Java, Cybersecurity",Pune,B.Sc
IT Support,INTERNATIONAL TRACTORS LIMITED,"Java, DevOps, React, Cybersecurity",Kolkata,B.Com
Risk Analyst,TAMILNAD MERCANTILE BANK LIMITED,"Financial Modeling, Taxation",Pune,MBA
Web Developer,ENDURANCE TECHNOLOGIES LIMITED,"Cybersecurity, DevOps, Cloud Computing",Mumbai,B.Tech
Web Developer,REC LIMITED,"Python, Machine Learning",Lucknow,M.Sc
Quality Engineer,APPLE INDIA PRIVATE LIMITED,"Circuit Design, Manufacturing",Ahmedabad,B.Sc
Treasury Analyst,INDUSIND BANK LTD.,"Investment Banking, Accounting, Risk Management, Taxation",Kolkata,BCA
Construction Manager,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Quality Control, Safety Management",Chennai,MBA
IT Support,LTIMINDTREE LIMITED,"Data Analysis, Cybersecurity",Bangalore,BBA
Supply Chain Analyst,RITES LIMITED,"Inventory Management, Logistics Planning, Distribution",Pune,BCA
Quality Inspector,ENGINEERS INDIA LIMITED,"Project Management, Surveying, Construction Management",Ahmedabad,B.Sc
Consumer Insights Analyst,ZYDUS LIFESCIENCES LIMITED,"Distribution, Marketing, Sales",Lucknow,B.Tech
Web Developer,HDFC SECURITIES LIMITED,"Python, JavaScript, React, DevOps",Chennai,PhD
QA Engineer,STAR INDIA PRIVATE LIMITED,"Python, SQL, Cybersecurity, Java",Hyderabad,MBA
Machine Learning Engineer,MARUTI SUZUKI INDIA LIMITED,"JavaScript, Machine Learning, Java, Python",Remote,B.Tech
Software Developer,ORACLE INDIA PRIVATE LIMITED,"Python, DevOps, Data Analysis, Cloud Computing",Remote,PhD
Power Plant Operator,POWER GRID CORPORATION OF INDIA LIMITED,"Grid Management, Maintenance",Kolkata,B.Com
DevOps Engineer,JOHN DEERE INDIA PRIVATE LIMITED,"JavaScript, SQL, React, Cloud Computing",Bangalore,B.Com
Software Developer,IIFL HOME FINANCE LIMITED,"JavaScript, Java, SQL, DevOps",Bangalore,B.Tech
Site Engineer,WONDER CEMENT LIMITED,"Civil Engineering, Structural Design",Ahmedabad,B.Sc
Brand Manager,LUPIN LIMITED,"Marketing, Distribution, Sales",Kolkata,B.Tech
Financial Analyst,SBI LIFE INSURANCE COMPANY LIMITED,"Risk Management, Auditing",Remote,PhD
QA Engineer,RELIANCE INDUSTRIES LIMITED,"Cloud Computing, Data Analysis, JavaScript",Chennai,BBA
Safety Officer,KARNATAKA RURAL INFRASTRUCTURE DEVELOPMENT LIMITED,"Structural Design, Construction Management, Estimation",Delhi,B.Tech
Cloud Architect,KANSAI NEROLAC PAINTS LIMITED,"Java, JavaScript",Lucknow,BBA
Geologist,BIOP STEELS & POWER PRIVATE LIMITED,"Surveying, Ore Processing, Environmental Compliance",Remote,M.Sc
Web Developer,INFOSYS LIMITED,"Java, Data Analysis, React",Delhi,BCA
Sales Executive,BHARAT BIOTECH INTERNATIONAL LIMITED,"Marketing, Supply Chain, Brand Management, Distribution",Mumbai,BA
Supply Chain Analyst,RITES LIMITED,"Warehouse Operations, Logistics Planning, Freight Management, Transportation",Ahmedabad,Diploma
Warehouse Manager,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Distribution, Inventory Management, Transportation, Logistics Planning",Jaipur,PhD
Data Analyst,BALRAMPUR CHINI MILLS LTD,"DevOps, React, SQL",Remote,BA
QA Engineer,PRESTIGE ESTATES PROJECTS LIMITED,"Java, Python, React, JavaScript",Kolkata,BBA
Retail Manager,DIVI S LABORATORIES LIMITED,"Brand Management, Product Development, Supply Chain, Marketing",Pune,BA
Surveyor,D P F TEXTILES PRIVATE LIMITED,"Structural Design, Project Management, Safety Management",Bangalore,B.Sc
Site Engineer,SAINT-GOBAIN INDIA PRIVATE LIMITED,"Project Management, Estimation, Surveying",Mumbai,B.Tech
Cloud Architect,EIT SERVICES INDIA PRIVATE LIMITED,"Machine Learning, DevOps, Cybersecurity",Ahmedabad,B.Tech
Production Engineer,BHARAT DYNAMICS LIMITED,"Manufacturing, Quality Control",Pune,M.Sc
Quality Inspector,THE SUPREME INDUSTRIES LIMITED,"Civil Engineering, Construction Management, Safety Management, Structural Design",Pune,BBA
QA Engineer,MUTHOOT FINANCE LIMITED,"Data Analysis, SQL, JavaScript, Cybersecurity",Bangalore,BCA
Web Developer,ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,"React, Python, Data Analysis",Chennai,Diploma
Distribution Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Consumer Insights, Sales, Marketing, Distribution",Delhi,M.Sc
Construction Manager,ATUL LIMITED,"Safety Management, Civil Engineering, Quality Control",Jaipur,B.Sc
Safety Officer,ODISHA MINING CORPORATION LIMITED,"Mineral Processing, Surveying, Exploration, Ore Processing",Hyderabad,B.Tech
Consumer Insights Analyst,RELIANCE RETAIL LIMITED,"Brand Management, Sales, Consumer Insights",Remote,B.Sc
Site Engineer,ATUL LIMITED,"Estimation, Surveying",Pune,B.Com
Mineral Processing Engineer,JSW STEEL LIMITED,"Mining Engineering, Exploration",Lucknow,PhD
IT Support,INFOSYS LIMITED,"SQL, DevOps, Cloud Computing, Cybersecurity",Ahmedabad,B.Com
Machine Learning Engineer,WNS GLOBAL SERVICES PRIVATE LIMITED,"DevOps, Cloud Computing",Chennai,BA
Civil Engineer,NCC LIMITED,"Surveying, Construction Management, Estimation, Civil Engineering",Delhi,BBA
IT Support,BA CONTINUUM INDIA PRIVATE LIMITED,"SQL, React, Machine Learning, JavaScript",Bangalore,B.Sc
Software Developer,CGI INFORMATION SYSTEMS AND MANAGEMENT CONSULTANTS PRIVATE LIMITED,"DevOps, JavaScript, Data Analysis, Cloud Computing",Bangalore,BBA
Cloud Architect,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Java, React, JavaScript, Cloud Computing",Jaipur,BA
QA Engineer,HSBC SOFTWARE DEVELOPMENT (INDIA) PRIVATE LIMITED,"Cybersecurity, Machine Learning",Pune,BBA
Data Analyst,BALRAMPUR CHINI MILLS LTD,"SQL, Cloud Computing",Remote,BBA
Brand Manager,FRIGORIFICO ALLANA PRIVATE LIMITED,"Distribution, Product Development, Supply Chain, Marketing",Remote,MBA
Mining Engineer,HINDUSTAN ZINC LIMITED,"Mining Engineering, Surveying",Chennai,BBA
Web Developer,DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED,"Machine Learning, JavaScript, SQL",Pune,BBA
IT Support,MPHASIS LIMITED,"DevOps, Python, SQL",Hyderabad,M.Sc
Network Engineer,INDUS TOWERS LIMITED,"Optical Fiber, Wireless Communication",Lucknow,MBA
Electronics Engineer,HP INDIA SALES PRIVATE LIMITED,"Manufacturing, Embedded Systems, R&D",Hyderabad,PhD
Surveyor,FINOLEX INDUSTRIES LIMITED,"Quality Control, Safety Management, Surveying",Mumbai,BBA
DevOps Engineer,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Ahmedabad,BBA
Data Analyst,NATIONAL STOCK EXCHANGE OF INDIA LTD.,"DevOps, Cloud Computing, Java",Pune,MBA
Project Engineer,POWER GRID CORPORATION OF INDIA LIMITED,"Renewable Energy, Energy Efficiency",Ahmedabad,PhD
Marketing Executive,MONDELEZ INDIA FOODS PRIVATE LIMITED,"Retail Management, Product Development, Sales",Kolkata,B.Sc
IT Support,INDIAN RAILWAY FINANCE CORPORATION LIMITED,"Python, Java, React, Cloud Computing",Jaipur,BA
Safety Officer,INDIAN METALS AND FERRO ALLOYS LTD.,"Surveying, Mining Engineering",Remote,BA
Software Developer,PNB HOUSING FINANCE LIMITED,"SQL, React",Jaipur,BBA
Geologist,BHUSHAN POWER & STEEL LIMITED,"Mining Engineering, Geology, Environmental Compliance",Bangalore,BA
IT Support,INFOSYS BPM LIMITED,"Python, Machine Learning, React",Remote,MBA
Cloud Architect,ASIAN PAINTS LIMITED,"Machine Learning, Python, JavaScript",Hyderabad,B.Sc
Civil Engineer,GHCL LIMITED,"Quality Control, Safety Management, Construction Management, Project Management",Bangalore,BBA
QA Engineer,ATLAS COPCO (INDIA) PRIVATE LIMITED,"JavaScript, Cloud Computing, Machine Learning, Cybersecurity",Jaipur,B.Com
Retail Manager,GLENMARK LIFE SCIENCES LIMITED,"Sales, Distribution",Hyderabad,B.Sc
Software Developer,L&T TECHNOLOGY SERVICES LIMITED,"Data Analysis, Machine Learning",Hyderabad,M.Sc
Hardware Engineer,HONEYWELL AUTOMATION INDIA LIMITED,"PCB Design, R&D, Quality Control, Circuit Design",Hyderabad,PhD
Machine Learning Engineer,KOTAK MAHINDRA PRIME LIMITED,"Cloud Computing, Machine Learning, Java",Ahmedabad,BBA
Structural Engineer,TRIDENT LIMITED,"Safety Management, Surveying, Quality Control, Estimation",Lucknow,Diploma
Civil Engineer,SHREE RAMKRISHNA EXPORTS PRIVATE LIMITED,"Project Management, Structural Design, Safety Management",Bangalore,BA
IT Support,EICHER MOTORS LIMITED,"Python, Data Analysis",Chennai,BBA
Sales Executive,PATANJALI FOODS LIMITED,"Retail Management, Brand Management, Supply Chain",Pune,BBA
Data Analyst,THE CLEARING CORPORATION OF INDIA LIMITED,"Java, Cloud Computing",Mumbai,MBA
Surveyor,ARCELORMITTAL NIPPON STEEL INDIA LIMITED,"Mineral Processing, Geology, Surveying, Mining Engineering",Pune,BCA
IT Support,MPHASIS LIMITED,"DevOps, Python, SQL",Hyderabad,M.Sc
Consumer Insights Analyst,UNITED BREWERIES LIMITED,"Brand Management, Marketing, Sales",Bangalore,BCA
Web Developer,HDFC SECURITIES LIMITED,"React, Java, Cloud Computing, JavaScript",Lucknow,BA
